Concept set: team run drill field
Reference: A team runs down the field doing some drills.
the team is running drills on the field .	the team are running through a field of drills .
the team is running drills on the field .	football team running drills in the field
the team is running drills on the field .	football team running a drill in the field
the team is running drills on the field .	race team run in a drill during field
the team is running drills on the field .	football team runs a drill on a field.
the team are running through a field of drills .	football team running drills in the field
the team are running through a field of drills .	football team running a drill in the field
the team are running through a field of drills .	race team run in a drill during field
the team are running through a field of drills .	football team runs a drill on a field.
football team running drills in the field	football team running a drill in the field
football team running drills in the field	race team run in a drill during field
football team running drills in the field	football team runs a drill on a field.
football team running a drill in the field	race team run in a drill during field
football team running a drill in the field	football team runs a drill on a field.
race team run in a drill during field	football team runs a drill on a field.

Concept set: food eat chair sit
Reference: A man sitting on a chair eating food.
a man sitting in a chair eating food .	a man eats food and eat chair sit in the beach.
a man sitting in a chair eating food .	a man sitting on a chair eating food.
a man sitting in a chair eating food .	a cat sitting in a chair eating food
a man sitting in a chair eating food .	man eats food and sits on a chair.
a man sitting in a chair eating food .	a group of people sit in chairs eating food .
a man eats food and eat chair sit in the beach.	a man sitting on a chair eating food.
a man eats food and eat chair sit in the beach.	a cat sitting in a chair eating food
a man eats food and eat chair sit in the beach.	man eats food and sits on a chair.
a man eats food and eat chair sit in the beach.	a group of people sit in chairs eating food .
a man sitting on a chair eating food.	a cat sitting in a chair eating food
a man sitting on a chair eating food.	man eats food and sits on a chair.
a man sitting on a chair eating food.	a group of people sit in chairs eating food .
a cat sitting in a chair eating food	man eats food and sits on a chair.
a cat sitting in a chair eating food	a group of people sit in chairs eating food .
man eats food and sits on a chair.	a group of people sit in chairs eating food .

Concept set: guitar hand move neck
Reference: A man plays electric guitar moving his hands up the neck as he plays.
a hand moves his hands around the neck of a guitar .	a young man is holding a guitar in his hand and he moves it around the neck .
a hand moves his hands around the neck of a guitar .	a man is playing a guitar with his hand moving the neck.
a hand moves his hands around the neck of a guitar .	a woman moving the guitar with the hand move his red neck
a hand moves his hands around the neck of a guitar .	with her free hand, she moves the guitar up and down on the neck of her neck, playing the instrument.
a hand moves his hands around the neck of a guitar .	man moves his hand over the neck of a guitar.
a young man is holding a guitar in his hand and he moves it around the neck .	a man is playing a guitar with his hand moving the neck.
a young man is holding a guitar in his hand and he moves it around the neck .	a woman moving the guitar with the hand move his red neck
a young man is holding a guitar in his hand and he moves it around the neck .	with her free hand, she moves the guitar up and down on the neck of her neck, playing the instrument.
a young man is holding a guitar in his hand and he moves it around the neck .	man moves his hand over the neck of a guitar.
a man is playing a guitar with his hand moving the neck.	a woman moving the guitar with the hand move his red neck
a man is playing a guitar with his hand moving the neck.	with her free hand, she moves the guitar up and down on the neck of her neck, playing the instrument.
a man is playing a guitar with his hand moving the neck.	man moves his hand over the neck of a guitar.
a woman moving the guitar with the hand move his red neck	with her free hand, she moves the guitar up and down on the neck of her neck, playing the instrument.
a woman moving the guitar with the hand move his red neck	man moves his hand over the neck of a guitar.
with her free hand, she moves the guitar up and down on the neck of her neck, playing the instrument.	man moves his hand over the neck of a guitar.

Concept set: grass dog ball chase
Reference: A dog chases a ball in the grass.
a dog is chasing a ball through the grass .	a dog chasing a ball in the grass.
a dog is chasing a ball through the grass .	a dog is chasing a ball of grass .
a dog is chasing a ball through the grass .	a dog chasing a ball in the grass
a dog is chasing a ball through the grass .	dog chasing a ball in the grass.
